Longitude,Latitude,Zip Codes,Sold Month,Days on Market,Original List Price,Listing Price,Sold Price,Taxes,Sold Terms,SqFt - Total (Aprox),List Price/SqFt,Sold Price/SqFt,Basement,Year Built,Aprx. Acres,# Bedrooms,Baths - Total,HOA,Warranty,Seller Concessions,New Construction Y/N,Overall Crime Grade,Violent Crime,Property Crime,Other Crime,Elementary School,ElemRating,Middle School,MiddleRating,High School,HighRating,AirQuality,Walk Score,TrailHikeDistance,WalkingPathDistance,PalygroundDistance,RecCenterDistance,Rest Nearby,NearestGrocery
-85.1559123,35.2477933,37379,July,4,289900,289900,323500,1814.7,Conv,1766,164.16,183.18,No,2002,0.64,3,2,No,N,Y,N,A-,A,B+,B+,Allen Elementary,6,Loftis Middle,7,Soddy-Daisy High,6,65,6,8.8929233318962,7.61625051433218,7.61625051433218,7.61625051433218,Level 5 (20 and above),20.5673864630558
-85.1241166,35.0198944,37421,May,14,375000,344900,338250,2297.5,Conv,1960,175.97,172.58,No,1976,0.4,3,2,No,N,Y,N,C-,B-,C-,D+,East Brainerd Elem,4,East Hamilton,7,East Hamilton,7,67,3,9.26133830403665,1.73876730430144,1.73876730430144,3.18925966822744,Level 4 (16-19),5.90302632625467
-85.229908,35.0302718,37411,May,3,384900,384900,401000,1860.67,VA,3040,126.61,131.91,No,1960,0.31,5,3,No,N,N,N,C-,B-,C-,D+,Woodmore Elementary,4,Dalewood Middle,2,Brainerd High,2,67,12,5.683578379314,1.32077137600063,0.580415179402732,0.580415179402732,Level 4 (16-19),3.29326731885787
-85.0771785,35.0485856,37363,May,10,475000,475000,480000,3017.6,Conv,2822,168.32,170.09,No,2007,0.18,4,3,Yes,N,N,N,A+,A+,A,A+,Wolftever Creek Elem,6,Ooltewah Middle,6,Ooltewah,4,61,3,9.74546281723222,4.3784570401436,5.02445028132418,4.3784570401436,Level 5 (20 and above),10.252624671916
-85.1209522,35.0328713,37421,September,7,500000,500000,500000,1947.62,Conv,3277,152.58,152.58,No,2004,0.2,4,3,No,N,N,N,C-,B-,C-,D+,East Brainerd Elem,4,East Hamilton,7,East Hamilton,7,67,5,8.65643856419814,2.39044412154751,2.39044412154751,2.59279539163363,Level 5 (20 and above),6.21371192237334
-85.1719644,35.0829848,37416,July,21,230000,220000,221500,2113.52,Conv,1188,185.19,186.45,No,1966,0.28,3,2,No,N,Y,N,C-,B-,C-,D+,Lakeside Academy,2,Brown Middle,4,Central High School,4,67,11,4.15207071498633,1.62140608892872,0.362414067886661,0.362414067886661,Level 4 (16-19),6.33798616082081
-85.272662,35.03606,37404,March,81,299000,299000,285000,2322.18,Conv,3252,91.94,87.64,No,1925,0.23,4,3,No,N,Y,N,C-,B-,C-,D+,Orchard Knob Elem,2,Orchard Knob Middle,4,Brainerd High,2,67,64,3.49916919443053,0.393104810118663,0.561420776403029,0.561420776403029,Level 4 (16-19),4.78455818022747
-85.2656465,35.0413951,37404,Jun,7,190000,190000,190000,858.2,Conv,1378,137.88,137.88,No,1929,0.15,3,2,No,N,N,N,C-,B-,C-,D+,Orchard Knob Elem,2,Orchard Knob Middle,4,Brainerd High,2,67,53,3.5666839215141,0.363102551225475,0.363102551225475,0.363102551225475,Level 4 (16-19),5.0331066571224
-85.2624713,35.0579712,37406,September,27,279000,249000,249000,126.77,Conv,1400,177.86,177.86,No,2023,0.23,3,2,No,Y,N,Y,C-,B-,C-,D+,Hardy Elementary,3,Orchard Knob Middle,4,Brainerd High,2,67,37,3.21712458606816,1.07662732760613,0.470839651450927,0.470839651450927,Level 4 (16-19),6.83508311461067
-85.1635992,35.1169209,37416,Jun,55,139900,139900,122500,399.97,Conv,1644,85.1,74.51,No,1994,0.34,3,2,No,N,N,N,C-,B-,C-,D+,Harrison Elementary,2,Brown Middle,4,Central High School,4,67,0,3.21729218283353,2.16814294114997,2.16814294114997,2.16814294114997,Level 2 (6-10),9.50697924123121
-85.1817351,35.0456431,37421,Feb,58,325000,296900,302900,448.73,Conv,1600,185.56,189.31,No,1960,0.22,3,2,No,N,N,N,C-,B-,C-,D+,Bess T. Shepherd Elm,4,Tyner Middle Academy,3,Tyner Academy,4,62,15,6.1556592136056,0.0128712539547372,0.0128712539547372,0.0128712539547372,Level 5 (20 and above),2.67189612662054
-85.1661393,35.0296404,37421,Feb,71,375000,350000,346000,2202.14,Conv,2180,160.55,158.72,No,1965,0.49,3,3,No,N,N,N,C-,B-,C-,D+,East Brainerd Elem,4,Ooltewah Middle,6,Ooltewah,4,67,36,7.50701973810401,1.40110703835179,1.40110703835179,1.40110703835179,Level 5 (20 and above),2.9825817227392
-85.1650546,35.0282831,37421,August,18,485000,475000,460000,2677.8,Conv,2457,193.33,187.22,No,1958,0.44,3,3,No,N,N,N,C-,B-,C-,D+,East Brainerd Elem,4,Ooltewah Middle,6,Ooltewah,4,67,32,7.61734322930115,1.4911950546866,1.4911950546866,1.51267947456119,Level 5 (20 and above),3.04471884196294
-85.2525441,35.1185881,37415,Jun,0,320000,320000,320000,2627.31,Conv,2956,108.25,108.25,No,1972,0.39,4,3,No,N,N,N,C-,B-,C-,D+,DuPont Elementary,5,Hixson Middle,5,Hixson High,5,60,31,2.07145080822898,1.42509240134537,1.36780750113446,1.36780750113446,Level 4 (16-19),10.3768989103635
-85.2881518,35.0759094,37405,September,8,650000,650000,620000,6266.51,Conv,2909,223.44,213.13,No,1947,0.5,4,3,No,N,N,N,C-,B-,C-,D+,Normal Park Elem,6,Normal Park Upper,6,Red Bank High School,4,67,39,1.65638321527751,1.43429974309599,0.606603193440655,0.606603193440655,Level 4 (16-19),13.6080291099976
-85.2630779,35.0221482,37404,September,38,325000,325000,320000,1082.56,Conv,1800,180.56,177.78,No,1920,0.13,5,2,No,N,N,N,C-,B-,C-,D+,Battle Academy,4,Orchard Knob Middle,4,Howard Academics,2,67,29,4.56858378069578,0.430431672691063,0.499506406135227,1.58295902674534,Level 4 (16-19),4.34959834566134
-85.2758194,35.136553,37415,August,5,275000,275000,275000,2241.89,Conv,2225,123.6,123.6,No,1950,0.25,3,2,No,N,Y,N,C-,B-,C-,D+,Alpine Crest Elem,6,Red Bank Middle,3,Red Bank High School,4,66,17,3.27724503621573,2.12921867636069,2.15940983858786,2.12921867636069,Level 4 (16-19),12.3652867255229
-85.272349,35.1529766,37415,Feb,124,469900,400000,380000,1375.36,Conv,2584,154.8,147.06,Yes,1954,1.03,4,3,No,N,N,N,C-,B-,C-,D+,Hixson Elementary,5,Red Bank Middle,3,Red Bank High School,4,66,2,3.44745413841393,1.9636504697924,1.95698382373088,1.95698382373088,Level 4 (16-19),12.4895609639704
-85.1390809,34.9973508,37421,September,18,549500,540000,530000,4085.69,Conv,2536,212.93,208.99,No,2005,0.21,4,3,Yes,N,Y,N,C-,B-,C-,D+,East Brainerd Elem,4,East Hamilton,7,East Hamilton,7,67,33,10.1727392836752,1.11505627765783,1.11505627765783,4.10324035930089,Level 3 (11-15),5.28165513401734
-85.1634622,35.0401252,37421,Feb,0,520000,520000,520000,683,Conv,2733,190.27,190.27,No,2022,0.13,5,3,Yes,Y,N,Y,C-,B-,C-,D+,Bess T. Shepherd Elm,4,Tyner Middle Academy,3,Tyner Academy,4,59,42,6.91388259769848,1.08910113423842,1.08910113423842,1.08910113423842,Level 4 (16-19),3.1689930804104
-85.3676438,35.0372109,37419,Feb,118,315000,310000,300000,1781.46,Conv,1808,171.46,165.93,No,1965,0.56,3,2,No,N,Y,N,C-,B-,C-,D+,Lookout Valley Elem,6,Lookout Valley Mid,5,Lookout Valley High,5,67,11,3.7155276999798,2.28274126921095,0.217252394796002,2.28274126921095,Level 5 (20 and above),12.4895609639704
-85.3188051,35.0942878,37405,July,2,389900,389900,392400,458.98,VA,1810,215.41,216.8,No,2023,0.36,3,2,No,Y,N,Y,C-,B-,C-,D+,Red Bank Elementary,4,Red Bank Middle,3,Red Bank High School,4,67,12,1.57984362265966,1.32954602384699,0.740313477314507,0.740313477314507,Level 4 (16-19),13.2352063946552
-85.1357513,35.0616,37421,July,42,329900,329900,300000,1439.3,Conv,1246,264.77,240.77,No,1960,0.43,3,2,No,N,Y,N,C-,B-,C-,D+,Bess T. Shepherd Elm,4,Tyner Middle Academy,3,Tyner Academy,4,59,43,6.62207970716739,1.01660772265127,2.81773434197446,1.01660772265127,Level 5 (20 and above),5.96516344547841
-85.2399267,35.0047786,37412,September,2,315000,315000,318000,1511.56,Conv,1844,170.82,172.45,No,1950,0.25,3,3,No,N,N,N,C-,B-,C-,D+,East Ridge Elem,3,East Ridge,3,East Ridge High,3,67,27,6.33792305980102,1.12692498364927,1.12692498364927,1.85259447604894,Level 4 (16-19),2.9825817227392
-85.2834486,35.1068944,37415,Feb,54,450000,415000,415000,1943,VA,1937,214.25,214.25,No,1952,0.3,4,3,No,N,N,N,C-,B-,C-,D+,Rivermont Elementary,5,Red Bank Middle,3,Red Bank High School,4,67,18,3.09372984592273,0.92230418280765,0.92230418280765,0.92230418280765,Level 4 (16-19),11.8681897717331
-85.1944272,35.0890672,37416,Jun,3,239900,239900,246000,1331.61,VA,1272,188.6,193.4,No,1965,0,3,2,No,N,N,N,C-,B-,C-,D+,Harrison Elementary,2,Brown Middle,4,Central High School,4,67,43,3.10851954587535,0.302418239235174,0.99638563768813,0.99638563768813,Level 4 (16-19),6.52439751849201
-85.2974097,35.1083083,37415,Jun,21,435000,425000,415000,2333.66,Conv,2960,143.58,140.2,No,1967,0,4,3,No,N,Y,N,C-,B-,C-,D+,Red Bank Elementary,4,Red Bank Middle,3,Red Bank High School,4,61,36,2.77380947941403,1.39348170711245,1.70626943621598,1.70626943621598,Level 5 (20 and above),12.9245207985365
-85.2344793,35.0068124,37412,August,5,300000,300000,300000,0,Conv,1570,191.08,191.08,No,1940,0.23,3,2,No,N,N,N,C-,B-,C-,D+,East Ridge Elem,3,East Ridge Middle,3,East Ridge High,3,67,33,6.45542932649158,0.788814731336992,0.788814731336992,1.56717402208891,Level 3 (11-15),2.54762188817307
-85.2891248,35.1038152,37415,Feb,95,295000,285000,285000,2096.69,Conv,1826,156.08,156.08,No,1970,0.7,3,3,No,N,Y,N,C-,B-,C-,D+,Rivermont Elementary,5,Red Bank Middle,3,Red Bank High School,4,67,5,2.7321046911222,1.19211629783435,1.19211629783435,1.19211629783435,Level 4 (16-19),12.5516980831941
-85.300869,35.139101,37415,May,39,599000,585000,535000,3200,Conv,2870,203.83,186.41,Yes,1966,3.77,4,3,No,N,N,N,C-,B-,C-,D+,Red Bank Elementary,4,Red Bank Middle,3,Red Bank High School,4,66,0,4.7024549918706,2.11389164348593,3.14152102161983,3.14152102161983,Level 4 (16-19),14.2915374214587
-85.3013312,35.1338662,37415,September,45,489000,438000,405000,3237.59,Conv,2850,153.68,142.11,No,1992,0,3,3,No,N,N,N,C-,B-,C-,D+,Red Bank Elementary,4,Red Bank Middle,3,Red Bank High School,4,66,0,4.3988845937077,1.80512206311439,2.87439827899376,2.87439827899376,Level 4 (16-19),14.1672631830112
-85.2519765,35.0274465,37411,May,3,475000,475000,507500,2538.69,Conv,2968,160.04,170.99,No,1925,0.5,5,2,No,Y,N,N,C-,B-,C-,D+,Barger Acad Fine Art,3,Dalewood Middle,2,Brainerd High,2,67,37,4.76760819394966,0.940818423220485,1.06263845838951,1.58051155148168,Level 3 (11-15),3.79036427264774
-85.1804488,35.083537,37416,May,8,224900,224900,221411.14,1851.01,Conv,1337,168.21,165.6,No,1965,0.25,3,2,No,N,N,N,C-,B-,C-,D+,Harrison Elementary,2,Brown Middle,4,Central High School,4,67,32,3.83532450275472,1.15031211634028,0.252017458861577,0.252017458861577,Level 5 (20 and above),5.71661496858347
-85.1334605,35.1245194,37341,Jun,4,339900,339900,340000,1188.06,Conv,2150,158.09,158.14,No,1992,0.32,3,3,No,N,N,N,A,A+,B+,A+,Harrison Elementary,2,Brown Middle,4,Central High School,4,67,6,4.81103314372526,3.30798582005154,3.30798582005154,3.30798582005154,Level 2 (6-10),11.5575041756144
